month,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,ave
Jan,146.6202383,177.567667,137.17189,207.7725948,213.8418455,123.121592,142.6285281,218.893661,197.8919022,181.0598915,238.3365247,176.209991,191.5606366,208.5637035,151.2433476,222.5553887,121.7805042,86.2796495,232.920809,195.4691391,278.5036988,238.4803638,105.5494757,225.9403384,183.0569,244.4222493,124.2865013,194.3632185,198.4598205,205.502027,172.0698154,150.5857438,278.606761,304.0792193,173.9291644,141.0413282,192.4792848,153.8747641,187.8084258
Feb,111.8876672,142.8716443,197.6074538,182.8286047,146.4523182,148.1258874,165.2398996,141.0183212,170.4884338,113.6117908,148.4581048,189.1845689,123.717911,244.0417244,108.1808884,147.5489254,270.3555861,173.6021755,152.3891351,152.6279424,170.1551468,157.7648506,199.6054195,172.2536558,186.6467583,184.7303181,167.3074541,219.5890753,164.8754721,227.4123921,109.1860785,150.9563742,145.0033979,221.4438033,226.7770967,203.6269038,143.6490084,203.9963384,170.6636454
Mar,174.6983135,207.4638765,226.9220443,215.3153718,181.0417838,258.8741124,215.5442345,204.3886991,199.6693218,94.44706917,220.4747577,181.2594991,198.1646061,318.6430516,176.4468759,145.2715145,146.2076285,230.5580831,274.0656836,169.0731077,250.1902478,191.0364065,127.1609304,239.2017653,238.2864251,228.6666279,239.9191051,237.1097429,151.9252727,271.2874508,187.8393145,160.1664362,202.7426462,209.6155779,200.5930171,238.1276436,208.1644573,217.0981781,206.2542337
Apr,268.6571226,273.4734488,303.0990343,262.6155472,257.0581431,332.519371,162.9887366,148.1943073,294.2112999,318.5721521,335.2462726,280.5325713,318.1841884,215.7742214,246.6561494,343.8726792,284.49704,192.1996579,187.4316196,378.4826655,362.0300884,185.6228507,151.9354246,290.6900561,196.2723618,281.167927,383.6410074,336.8258996,200.4001355,242.4755652,270.0869927,302.9248672,257.2579293,330.3691382,203.2100232,312.9373617,347.8372784,231.7592049,270.8344826
May,198.5214319,107.5720711,257.1692786,272.6066637,176.5603576,98.4785347,304.27001,218.9310379,452.2665815,189.6578665,76.20628214,428.7183857,222.8592234,213.6212673,205.5806484,42.4363904,120.1528955,256.1798668,156.752347,299.7284679,222.1069407,145.5157633,112.3819745,244.1920881,149.0803375,266.1334343,212.9104424,97.91180801,298.3827648,477.0476966,270.7186241,168.9975166,550.2099857,226.7573457,116.958189,270.6534338,235.3472614,156.2541599,224.2060362
Jun,69.38503718,75.44072294,43.53989315,27.5363512,111.8064764,85.79342389,53.11238098,36.27924538,179.7350466,42.9549284,12.03798389,59.00731134,91.83672523,20.46839762,100.5062776,49.86996746,16.83017349,116.3830467,36.28107834,78.2185216,98.41353488,27.93676841,11.18425751,47.57209015,91.41353607,35.97805309,54.27660084,23.1458683,82.63214517,91.29345155,48.44103432,55.3317194,121.7763119,88.56535697,18.60308003,149.3912752,114.8350883,41.74023533,66.04087886
Jul,93.07035923,38.82350922,59.50630665,49.0193634,109.4364414,59.2124753,36.63896322,21.5583086,118.833353,47.18186474,21.45812368,29.94089603,45.59597015,12.38643694,76.03308964,29.81796193,31.96781588,104.3869427,34.55257416,33.41199446,44.66292286,64.67181063,13.12724376,60.16411209,60.61658001,22.1049881,26.77508736,15.39825392,19.90728188,142.113543,30.30547142,19.77090549,151.7808743,143.565506,13.88423562,155.0547996,54.0377388,11.13304329,55.31334601
Aug,51.80230165,24.45892143,29.9725647,73.58355999,50.51557922,62.72646713,23.72821569,29.89753914,58.4731555,80.48320723,14.24367905,132.1252975,36.79140759,39.76592255,11.19804525,38.31530333,13.23224735,53.48587656,14.65162754,30.4438591,16.62548256,24.83211303,30.13334656,20.28031063,48.78139496,10.84169912,19.61810732,39.29227066,11.27376556,138.8372493,11.64624643,22.56128502,21.27358627,23.70246029,13.57646036,88.75943184,18.63980436,13.88615894,38.0119987
Sep,152.7774522,43.78184175,29.58145142,206.8357589,107.7704449,169.7291126,92.16070175,23.62885094,43.88315201,32.68787384,32.74869061,112.8490839,50.5898056,28.40897274,65.64682388,81.55767059,19.42635298,63.01741743,24.72907829,79.24758148,120.2701545,25.23665047,101.7390213,130.7070789,102.3512115,19.26700401,60.82824135,54.99215603,98.6475563,379.3137646,33.85528946,31.52085114,72.32930803,18.27211761,24.32853603,453.223402,97.62357712,44.78374863,87.64073123
Oct,152.2986088,71.74051666,374.5813708,214.3329191,249.0852456,207.654757,128.3030624,157.2537239,139.9421811,71.39754486,22.8771162,370.049201,127.4099026,48.08074951,250.2805176,516.3586044,25.84219265,227.4058928,309.7589333,249.5512495,435.3893275,29.64970064,275.9785566,45.90368366,201.5761287,71.09046173,154.7716737,177.8430452,163.2968669,327.6046195,112.217133,171.6899757,145.8204727,47.01535308,29.48148203,326.2514989,291.482244,76.25996304,184.1454336
Nov,233.3770248,94.34803605,239.9554732,261.5050132,162.9872265,285.4773602,259.6685874,160.3344743,249.042516,217.5882688,260.6250901,282.0024998,268.5240459,136.500169,258.1393418,176.068243,208.1417813,305.81039,245.6333947,389.7090724,365.3617644,203.6685607,279.2356396,187.5981767,231.428442,104.4548988,267.48772,300.6555986,265.2740159,223.8257794,332.5602441,267.6858582,194.2188139,279.3518944,201.2164667,606.001194,427.1016297,320.2761502,256.6537067
Dec,227.119354,268.039047,197.780757,231.21526,256.8647118,297.4334002,204.5650463,283.2604558,342.7060013,356.7445736,329.135561,317.7215967,403.0378127,203.304996,245.4540989,229.2696981,240.5956209,299.4602532,269.44838,167.8951762,170.8675582,208.1196356,233.6254382,308.0539041,313.8170047,287.2884104,566.5878716,376.658742,198.8459129,255.9394209,311.4639044,362.7239604,472.1140807,336.0911093,281.8864427,176.5407321,265.8971813,242.4338295,282.6317616
